"filename", "language", "Python", "YAML", "Markdown", "HTML", "pip requirements", "Batch", "CSS", "JSON", "comment", "blank", "total"
"c:\Automations\business-automations\product_tools\inventory_upload.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 2, 12, 66
"c:\Automations\business-automations\product_tools\landscape_pro_resize.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Automations\business-automations\product_tools\prices.py", "Python", 154, 0, 0, 0, 0, 0, 0, 0, 24, 37, 215
"c:\Automations\business-automations\product_tools\products.py", "Python", 834, 0, 0, 0, 0, 0, 0, 0, 31, 117, 982
"c:\Automations\business-automations\product_tools\related_items.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 9, 10, 75
"c:\Automations\business-automations\product_tools\resize_photos.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 5, 10, 86
"c:\Automations\business-automations\product_tools\set_inactive_status.py", "Python", 84, 0, 0, 0, 0, 0, 0, 0, 26, 16, 126
"c:\Automations\business-automations\product_tools\sort_order.py", "Python", 265, 0, 0, 0, 0, 0, 0, 0, 31, 93, 389
"c:\Automations\business-automations\product_tools\stock_buffer.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 6, 13, 68
"c:\Automations\business-automations\qr\qr_codes.py", "Python", 113, 0, 0, 0, 0, 0, 0, 0, 0, 18, 131
"c:\Automations\business-automations\reporting\daily_revenue.py", "Python", 162, 0, 0, 0, 0, 0, 0, 0, 11, 25, 198
"c:\Automations\business-automations\reporting\gift_cards.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 3, 16, 69
"c:\Automations\business-automations\reporting\lead_generator_notification.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 3, 10, 61
"c:\Automations\business-automations\reporting\product_reports.py", "Python", 985, 0, 0, 0, 0, 0, 0, 0, 43, 108, 1136
"c:\Automations\business-automations\reporting\product_reports_new.py", "Python", 919, 0, 0, 0, 0, 0, 0, 0, 43, 98, 1060
"c:\Automations\business-automations\reporting\visualizations.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 3, 9, 68
"c:\Automations\business-automations\requirements.txt", "pip requirements", 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"c:\Automations\business-automations\restart_services.bat", "Batch", 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Automations\business-automations\routes\inventory.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 0, 14, 60
"c:\Automations\business-automations\routes\limiter.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Automations\business-automations\routes\marketing.py", "Python", 285, 0, 0, 0, 0, 0, 0, 0, 10, 53, 348
"c:\Automations\business-automations\routes\shopify.py", "Python", 429, 0, 0, 0, 0, 0, 0, 0, 9, 103, 541
"c:\Automations\business-automations\routes\sms.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 11, 22, 137
"c:\Automations\business-automations\scheduled_tasks.py", "Python", 268, 0, 0, 0, 0, 0, 0, 0, 47, 41, 356
"c:\Automations\business-automations\server.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 6, 27, 129
"c:\Automations\business-automations\setup\admin_report_html.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 17, 88
"c:\Automations\business-automations\setup\authorization.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 3, 5, 16
"c:\Automations\business-automations\setup\backups.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 2, 7, 37
"c:\Automations\business-automations\setup\barcode_engine.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 1, 8, 34
"c:\Automations\business-automations\setup\big_products.py", "Python", 73, 0, 0, 0, 0, 0, 0, 0, 0, 18, 91
"c:\Automations\business-automations\setup\coupon_engine.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"c:\Automations\business-automations\setup\creds.py", "Python", 432, 0, 0, 0, 0, 0, 0, 0, 3, 94, 529
"c:\Automations\business-automations\setup\date_presets.py", "Python", 97, 0, 0, 0, 0, 0, 0, 0, 34, 35, 166
"c:\Automations\business-automations\setup\email_engine.py", "Python", 386, 0, 0, 0, 0, 0, 0, 0, 6, 68, 460
"c:\Automations\business-automations\setup\error_handler.py", "Python", 123, 0, 0, 0, 0, 0, 0, 0, 8, 53, 184
"c:\Automations\business-automations\setup\network.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 6, 10, 48
"c:\Automations\business-automations\setup\order_engine.py", "Python", 292, 0, 0, 0, 0, 0, 0, 0, 16, 17, 325
"c:\Automations\business-automations\setup\print_engine.py", "Python", 197, 0, 0, 0, 0, 0, 0, 0, 20, 25, 242
"c:\Automations\business-automations\setup\product_engine.py", "Python", 502, 0, 0, 0, 0, 0, 0, 0, 29, 58, 589
"c:\Automations\business-automations\setup\query_engine.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 2, 11, 42
"c:\Automations\business-automations\setup\revenue_report_html.py", "Python", 392, 0, 0, 0, 0, 0, 0, 0, 3, 46, 441
"c:\Automations\business-automations\setup\sms_engine.py", "Python", 142, 0, 0, 0, 0, 0, 0, 0, 10, 22, 174
"c:\Automations\business-automations\setup\utilities.py", "Python", 342, 0, 0, 0, 0, 0, 0, 0, 21, 117, 480
"c:\Automations\business-automations\setup\webDAV_engine.py", "Python", 117, 0, 0, 0, 0, 0, 0, 0, 11, 22, 150
"c:\Automations\business-automations\shop\coupons.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 22, 61
"c:\Automations\business-automations\shop\models\webhooks.py", "Python", 117, 0, 0, 0, 0, 0, 0, 0, 0, 9, 126
"c:\Automations\business-automations\sms\sms_automations.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 16, 13, 91
"c:\Automations\business-automations\sms\sms_messages.py", "Python", 109, 0, 0, 0, 0, 0, 0, 0, 43, 27, 179
